,TID,English,Arabic,Chinese Simplified,Chinese Traditional,Dutch,Filipino,Finnish,French,German,Hindi,Indonesian,Italian,Korean,Japanese,Malay,Norwegian,Polish,Portuguese,Portuguese Brazil,Russian,Spanish,Swedish,Thai,Turkish,Vietnamese,
,Sonata No.25 Mvt.3,Sonata No.25 Mvt.3,السوناتا Mvt.3 No.25,杜鹃奏鸣曲 第三章,杜鵑奏鳴曲 第三章,Sonata No.25 Mvt.3,Sonata No.25 Mvt.3,Sonaatti Nro 25 Mvt.3,Sonata N ° 25 Mvt.3,Sonata Nr.25 3.Satz,सोनाटा नं .25 MVT.3,Sonata No.25 Mvt.3,Sonata No.25 Mvt.3,소나타 No.25 Mvt.3,ソナタ 第25番 第3楽章,Sonata No.25 Mvt.3,Sonata No.25 Mvt.3,Sonata Nr 25 Mvt.3,Sonata No.25 Mvt.3,Sonata No.25 Mvt.3,Соната №25 3 часть,Sonata No.25 Mvt.3,Sonata No.25 Mvt.3,Sonata No.25 MVT.3,Sonata No.25 Mvt.3,Sonata Số 25 Mvt.3,
,Espana Cani,Espana Cani,اسبانى كان,西班牙斗牛舞曲,西班牙鬥牛舞曲,Espana Cani,Espana Cani,Espana Cani,Espana Cani,Espana Cani,एस्पाना कैन,Espana Cani,Espana Cani,에스파냐 카니,エスパーニャ・カーニ,Espana Cani,Espana Cani,Espana Cani,Espana Cani,Espana Cani,Эспанья Кани,Espana Cani,Espana Cani,Espana cani,Espana Cani,Espana Cani,
,Sonatina Op.168 No.2,Sonatina Op.168 No.2,السوناتينا No.2 Op.168,小奏鸣曲Op.168 No.2,小奏鳴曲Op.168 No.2,Sonatina Op.168 Nr. 2,Sonatina Op.168 No.2,Sonatina Op.168 No.2,Sonatina Op.168 No.2,Sonatina Op.168 Nr.2,सोनटिना Op.168 No.2,Sonatina Op.168 No.2,Sonatina Op.168 No.2,소나티나 Op.168 No.2,ソナチネ Op.168-2,Sonatina Op.168 No.2,Sonatina Op.168 No.2,Sonatina Op.168 Nr 2,Sonatina Op.168 No.2,Sonatina Op.168 No.2,Сонатина Op.168 №2,Sonatina Op.168 No.2,Sonatina Op.168 No.2,Sonatina Op.168 No.2,Sonatina Op.168 No.2,Sonatina Op.168 No.2,
,The Blue Danube,The Blue Danube,الدانوب الأزرق,蓝色多瑙河,藍色多瑙河,De Blauwe Donau,The Blue Danube,Sininen Tonava,Le Danube Bleu,The Blue Danube,द ब्लू डेन्यूब,Danube Biru,Il Blue Danube,The Blue Danube,美しき青きドナウ,Danube Biru,Den Blå Donau,Niebieski Dunaj,O DanúBio Azul,O DanúBio Azul,На Прекрасном Голубом Дунае,El Danubio Azul,The Blue Donau,แม่น้ำดานูบสีน้ำเงิน,Mavi Tuna,SôNg ĐA-NuýP Xanh,
,Bright Line,Bright Line,برايت لاين,光明行,光明行,Heldere Lijn,Bright Line,Kirkas Linja,Ligne Lumineuse,Helle Linie,उज्ज्वल रेखा,Garis Terang,Linea Luminosa,밝은 선,ブライト・ライン,Garis Terang,Lys Linje,Jasna Linia,Linha Brilhante,Linha Brilhante,Яркая Линия,Línea Brillante,Ljus Linje,เส้นสว่าง,Parlak çIzgi,ĐườNg SáNg,
,Auld Lang Syne,Auld Lang Syne,نشيد الوداع,友谊地久天长,友誼地久天長,Auld Lang Syne,Auld Lang Syne,Vanhat HyväT Ajat,Auld Lang Syne,Auld Lang Syne,औल्ड लैंग सीन,Auld Lang Syne,Auld Lang Syne,Auld Lang Syne,オールド・ラング・ザイン,Auld Lang Syne,Auld Lang Syne,Auld Lang Syne,Muito Tempo AtráS,Muito Tempo AtráS,Старое доброе время,Canción Escocesa Tradicional de Despedida,Auld Lang Syne,Auld Lang Syne,Auld Lang Syne,Auld Lang Syne,
,Oh My Beloved Father,Oh My Beloved Father,يا والدي الحبيب,我亲爱的爸爸,我親愛的爸爸,Oh Mijn Geliefde Vader,Oh My Beloved Father,Voi Rakas IsäNi,Oh Mon Père Bien-aimé,Oh Mein Geliebter Vater,ओह मेरे प्यारे पिता,Oh Ayahku Tercinta,Oh Mio Amato Padre,오 사랑하는 아버지,私のおとうさん,Oh Ayah Tercinta,Å Min Elskede Far,O MóJ Ukochany Ojciec,Oh Meu Amado Pai,Oh Meu Amado Pai,"О, мой возлюбленный отец",Oh Mi Amado Padre,ÅH Min äLskade Far,โอ้พ่อที่รักของฉัน,Oh Sevgili Babam,ÔI Cha YêU CủA TôI,
,Etude Op.10 No.3,Etude Op.10 No.3,القطعة الموسيقية No.3 Op.10,离别,離別,Etude Op.10 No.3,Etude Op.10 No.3,Etude Op.10 No.3,Etude Op.10 No.3,Etude Op.10 Nr.3,Etude op.10 No.3,Etude Op.10 No.3,Etude Op.10 N. 3,Etude Op. 10 No. 3,練習曲 Op.10-3,Etude Op.10 No.3,Etude Op.10 Nr.3,Etude Op.10 Nr 3,Etude Op.10 No.3,Etude Op.10 No.3,Этюд Op.10 №3,Etude Op.10 No.3,Etude Op.10 No.3,Etude op.10 ฉบับที่ 3,Erude Op.10 No.3,Etude Op.10 No.3,
,La Traviata Excerpts,La Traviata Excerpts,مقتطفات لا ترافياتا,故乡的海水和土地,故鄉的海水和土地,La Traviata Fragmenten,La Traviata Excerpts,La Traviata -Otteita,Les Extraviata,La Traviata Excerpts,ला ट्रावियाटा अंश,Kutipan La Traviata,Estratti Di la Traviata,라 트라비아타 발췌,椿姫の抜粋,La Traviata Petikan,La Traviata -Utdrag,Fragmenty La Traviata,La Traviata Trechos,La Traviata Trechos,Отрывок из травиата,Extractos de la Traviata,La Traviata -Utdrag,ข้อความที่ตัดตอนมา,La Traviata AlıNtıLarı,Traviata TríCh đOạN,
,Sonatina in F Major Anh.5,Sonatina in F Major Anh.5,Anh.5 السوناتينا في سلم فا الكبير,F大调小奏鸣曲,F大調小奏鳴曲,Sonatina In F Major Anh.5,Sonatina In F Major Anh.5,Sonatina F -Majuri Anh.5,Sonatina dans F Major Anh.5,Sonatina in F Major Anh.5,एफ मेजर एएनएच 5 में सोनाटिना,Sonatina Di F Mayor Anh.5,Sonatina in F Maggiore Anh.5,소나티나 F장조 Anh.5,ソナチネ ヘ長調 Anh.5,Sonatina Di F Utama Anh.5,Sonatina I F Major Anh.5,Sonatina W F -Dur Anh.5,Sonatina Em F Major Anh.5,Sonatina Em F Major Anh.5,Сонатина фа мажор Anh.5,Sonatina en F Major Anh.5,Sonatina I F Major Anh.5,Sonatina ใน F Major Anh.5,F Major Anh.5'Te Sonatina,Sonatina Trong F Major Anh.5,
,Defend the Yellow River,Defend the Yellow River,الدفاع عن النهر الأصفر,保卫黄河,保衛黃河,Verdedig De Gele Rivier,Defend The Yellow River,Puolustaa Keltaista Jokea,Défendre la Rivière Jaune,Verteidigt Den Gelben Fluss,येलो रिवर का बचाव करें,Bela Sungai Kuning,Difendere Il Fiume Yellow,황하를 지켜라,保衛黃河,Mempertahankan Sungai Kuning,Forsvar Den Gule Elven,Bronić żółTej Rzeki,Defender O Rio Amarelo,Defender O Rio Amarelo,Защитим Хуанхэ,Defender el Río Amarillo,FöRsvara Den Gula Floden,ปกป้องแม่น้ำเหลือง,Sarı Nehri Savun,BảO Vệ DòNg SôNg VàNg,
,Venetian Boat Song,Venetian Boat Song,أغنية قارب البندقية,威尼斯船歌,威尼斯船歌,Venetiaans Bootliedje,Venetian Boat Song,Venetsialaulu,Chanson de Bateau Vénitien,Barcarolle,विनीशियन बोट सॉन्ग,Lagu Perahu Venesia,Canzone Della Barca Veneziana,베네치아 보트 송,ヴェネツィアの舟歌,Lagu Bot Venetian,Venetiansk BåTsang,Piosenka łOdzi Wenecką,MúSica De Barco Veneziano,MúSica De Barco Veneziano,Венецианский Лодка Песня,Canción del Barco Veneciano,Venetiansk BåTsåNg,เพลงเรือเวนิส,Venedik Tekne ŞArkıSı,BàI HáT ThuyềN Venice,
,Troika,Troika,ترويكا,三套车,三套車,Trojka,Troika,Troikka,Troïka,Troika,तिकड़ी,Troika,Troika,Troika,トロイカ,Troika,Troika,TróJka,Troika,Troika,Тройка почтовая,Troica,Trojika,Troika,Troika,Troika,
,Habanera,Habanera,هابنرة,哈巴涅拉舞曲,哈巴涅拉舞曲,Habanera,Habanera,Habanera,Habanera,Habanera,हबनइयर,Habanera,Habanera,Habanera,恋は野の鳥,Habanera,Habanera,Habanera,Habanera,Habanera,Хабанера,Habanera,Habanera,Habanera,Habanera,Habanera,
,L'Arlesienne,"L’Arlésienne, Suite No. 2: Iii. Menuet",L’arlésienne، الجناح رقم 2: الثالث. قائمة الطعام,阿莱城姑娘，第二組曲：第三樂章，小步舞曲,阿萊城姑娘，第二組曲：第三樂章，小步舞曲,"L’ArléSienne, Suite Nr. 2: Iii. Menuet","L’ArléSienne, Suite Blg. 2: Iii. Menuet","L’ArléSienne, Sarja Nro 2: Iii. Menuetti","L’arlésienne, Suite N° 2 : Iii. Menuet","L’Arlésienne, Suite Nr. 2: Iii. Menuett","एल’अर्लेसीएन्ने, सूट नंबर 2: III. मेनुएट","L’ArléSienne, Suite No. 2: Iii. Menuet","L’arlésienne, Suite N. 2: Iii. Menuet",L'Arlesienne,アルルの女 第2組曲：第3曲 メヌエット,"L’ArléSienne, Suite No. 2: Iii. Menuet","L’ArléSienne, Suite Nr. 2: Iii. Menuett","L’ArléSienne, Suite Nr 2: Iii. Menuet","L’ArléSienne, SuíTe Nº 2: Iii. Menuet","L’ArléSienne, SuíTe Nº 2: Iii. Menuet","L’Arlésienne, Сюита № 2: III. Менуэт","L’Arlésienne, Suite Núm. 2: Iii. Menuet","L’ArléSienne, Svit Nr 2: Iii. Menuett",ลาร์เลเซียน ชุดที่ 2: III. เมนูเอต,"L’ArléSienne, Suit No. 2: Iii. Menuet","L’ArléSienne, Tổ KhúC Số 2: Iii. Menuet",
,Londonderry Air,Londonderry Air,لندنديري اير,伦敦德里小调,倫敦德里小調,Londonderry Air,Londonderry Air,Londonderry Air,Londonderry Air,Londonderry Air,लंदनडेरी एयर,Londonderry Air,Londonderry Air,아! 목동아,ロンドンデリーの歌,Londonderry Air,Londonderry Air,Londonderry Air,Londonderry Air,Londonderry Air,Лондондерри Эйр,Aire de Londinderry,Londonderry Air,Londonderry Air,Londonderry Air,KhôNg Khí Londonderry,
,Vltava,Vltava,فلتافا,沃尔塔瓦河,沃爾塔瓦河,Vltava,Vltava,Vltava,Vltava,Vltava,Vltava,Vltava,Vltava,Vltava,わが祖国,Vltava,Vltava,Vltava,Vltava,Vltava,Влтава,Vltava,Vltava,vltava,Vltava,Vltava,
,Valse Brillante Op.34 No.3,Valse Brillante Op.34 No.3,الفالس البريلانتي No.3 Op.34,小猫圆舞曲,小貓圓舞曲,Valse Brillante Op.34 Nr. 3,Valse Brillante Op.34 No.3,Valse Brillante Op.34 No.3,Valse Brillante Op.34 N ° 3,Valse Brillante Op.34 Nr.3,वाल्स ब्रिलेंट ओप .34 नंबर 3,Valse Brillante Op.34 No.3,Valse Brillante Op.34 No.3,발스 브릴란테 Op.34 No.3,華麗なる大円舞曲 Op.34-3,Valse Brillante Op.34 No.3,Valse Brillante Op.34 No.3,Valse Brillante Op.34 Nr 3,Valse Brillante Op.34 No.3,Valse Brillante Op.34 No.3,Блестящий вальс Op.34 №3,Valse Brillante Op.34 No.3,Valse Brillante Op.34 No.3,Valse Brillante Op.34 No.3,Valse Brillante Op.34 No.3,Valse Brillante Op.34 No. 3,
,Spinning Song,Spinning Song,اغنية الغزل,纺织歌,紡織歌,Spinnende Nummer,Spinning Song,Kehruulaulu,Chanson de Rotation,Spinning Song,कताई गीत,Lagu Pemintalan,Canto Rotante,스피닝 송,スピニング・ソング,Lagu Berputar,Spinning Song,Spinning Song,MúSica GiratóRia,MúSica GiratóRia,Прядильная песня,Canción Giratoria,SnurrlåT,เพลงปั่น,DöNen şArkı,BàI HáT Quay,
,Dance of Reed,Dance of Reed,رقصة الريد,芦笛舞曲,蘆笛舞曲,Dans Van Riet,Dance Of Reed,Reedin Tanssi,Danse de Roseau,Dance of Reed,रीड का नृत्य,Dance Of Reed,Danza Di Reed,갈대의 춤,葦笛の踊り,Tarian Reed,Dance Of Reed,Taniec Trzciny,DançA De Reed,DançA De Reed,Танец пастушков,Baile de Caña,Vassdans,Dance of Reed,Reed Dansı,KhiêU Vũ CủA SậY,
,Seguidilla,Seguidilla,صغيدلة,塞桂第拉舞曲,塞桂第拉舞曲,Seguidilla,Seguidilla,Seguidilla,Seguilla,Seguidilla,सेगुडीला,Seguidilla,Seguidilla,Seguidilla,セギディーリャ,Seguidilla,Seguidilla,Seguidilla,Seguidilla,Seguidilla,Сегидилья,Seguidilla,Seguidilla,Seguidilla,Seguidilla,Seguidilla,
,Tarantella,Tarantella,الترنتيلة,塔兰泰拉,塔蘭泰拉,Tarantella,Tarantella,Tarantella,Tarentelle,Tarantella,टारंटेल्ला,Tarantella,Tarantella,타란텔라,タランテラ,Tarantella,Tarantella,Tarantela,Tarantella,Tarantella,Тарантелла,Tarantela,Tarantella,ทารันเทลล่า,Tarantella,Tarantella,
,Norwegian Dance Op.35 No.2,Norwegian Dance Op.35 No.2,الرقصة النرويجية No.2 Op.35,挪威舞曲Op.35 No.2,挪威舞曲Op.35 No.2,Noorse Dans Op.35 Nr. 2,Norwegian Dance Op.35 No.2,Norjalainen Tanssi Op.35 No.2,Dance Norvégienne Op.35 N ° 2,Norwegian Dance Op.35 Nr.2,नॉर्वेजियन डांस Op.35 No.2,Norwegian Dance Op.35 No.2,Norwegian Dance Op.35 No.2,노르웨이 춤곡 Op.35 No.2,ノルウェー舞曲 Op.35-2,Tarian Norway Op.35 No.2,Norsk Dans Op.35 No.2,Norweski Taniec Op.35 Nr 2,DançA Norueguesa Op.35 No.2,DançA Norueguesa Op.35 No.2,Норвежский танец Op.35 №2,Danza Noruega Op.35 No.2,Norwegian Dance Op.35 No.2,Norwegian Dance Op.35 No.2,Norveç Dansı Op.35 No.2,Vũ đIệU Na Uy Op.35 No.2,
,Farewell of Slavianka,Farewell of Slavianka,وداع من سلافيانكا,斯拉夫女人的告别,斯拉夫女人的告別,Afscheid Van Slavianka,Farewell Of Slavianka,Slaviankan JääHyväIset,Adieu de Slavianka,Farewell of Slavianka,स्लावियानका की विदाई,Perpisahan Slavianka,Addio Di Slavianka,슬라비안카의 작별,スラブ娘の別れ,Perpisahan Slavianka,Farvel Av Slavianka,PożEgnanie Z Slavianka,Adeus De Slavianka,Adeus De Slavianka,Прощание славянки,Despedida de Slavianka,FarväL FråN Slavianka,คำอำลาของ Slavianka,Slavianka'NıN Vedası,Chia Tay CủA Slavianka,
,Dreaming of Home and Mother,Dreaming of Home and Mother,الحلم بالبيت والام,送别,送別,Dromen Van Thuis En Moeder,Dreaming Of Home And Mother,Unelmoi Kodista Ja äIdistä,Rêver de la Maison et de la Mère,Dreaming of Home and Mother,घर और माँ का सपना देखना,Memimpikan Rumah Dan Ibu,Sognando Casa E Madre,어머니의 꿈,旅愁,Bermimpi Rumah Dan Ibu,DrøMmer Om Hjem Og Mor,Marzenie O Domu I Matce,Sonhando Com Casa E MãE,Sonhando Com Casa E MãE,Мечта о доме и матери,Soñando con el Hogar y la Madre,DröMmer Om Hem Och Mamma,ฝันถึงบ้านและแม่,Ev Ve Anneyi Hayal Etmek,Mơ Về Nhà Và Mẹ,
,Salut d' Amour,Salut D' Amour,Salut D' Amour,爱的礼赞,愛的禮讚,Salut D 'Amour,Salut D' Amour,Salut D 'Amour,Salut D 'amour,Salut D' Amour,सालुट डी 'अमूर,Salut D 'Amour,Salut D 'amour,Salut d' Amour,愛の挨拶,Salut D 'Amour,Salut D 'Amour,Salut D 'Amour,Salut D 'Amour,Salut D 'Amour,Привет любви,Salut D 'Amour,Salut D 'Amour,Salut D 'Amour,Salut D 'Amour,Salut D 'Amour,
,Torna a Surriento,Torna a Surriento,طورنا سورينتو,重归苏莲托,重歸蘇蓮托,Torna Een Surriento,Torna A Surriento,Torna A Surriento,Torna Un Suriento,Torna a Surriento,टोर्ना ए सरिएंटो,Torna A Surriento,Torna a Suriente,토르 나 아 수 리엔 토,帰れソレントへ,Torna A Suriento,Torna A Surriento,Torna A Surriento,Torna A Surrioro,Torna A Surrioro,Вернись в Сорренто,Torna un Surmento,Torna En Surriento,Torna A Surriento,Torna A Turento,Torna MộT Surriento,
,Di Spagna sono la bella,Di Spagna Sono La Bella,الجميلة الأسبانية,西班牙女郎,西班牙女郎,Di Spagna Sono La Bella,Di Spagna Sono La Bella,Di Spagna Sono La Bella,Di Spagna Sono la Bella,Di Spagna Sono la Bella,डि स्पाग्ना सोनो ला बेला,Di Spagna Sono La Bella,Di Spagna Sono la la Bella,디 스파냐 소노 라 벨라,麗しきイスパニョーラ、愛の姿よ,Di Spagna Sono La Bella,Di Spagna Sono La Bella,Di Spagna Sono La Bella,Di Spagna Sono La Bella,Di Spagna Sono La Bella,Испанская красавица,Di Spagna Sono la Bella,Di Spagna Sono La Bella,Di Spagna Sono La Bella,Di Spagna Sono La Bella,Di Spagna Sono La Bella,
,Evening song of the Fisherman,Evening Song of the Fisherman,أغنية المساء للصياد,渔舟唱晚,漁舟唱晚,Avondlied Van De Visser,Evening Song Of The Fisherman,Kalastajan Iltalaulu,Chanson du Soir du Pêcheur,Evening Song of the Fisherman,मछुआरे का शाम का गीत,Lagu Malam Nelayan,Canzone Serale Del Pescatore,저녁의 노래,漁師の夜の唄,Lagu Petang Nelayan,Evening Song Of The Fisherman,Wieczorna Piosenka Rybaka,MúSica Noturna Do Pescador,MúSica Noturna Do Pescador,Вечерняя песня рыбака,Canción de la Tarde del Pescador,KväLlssåNg Av Fiskaren,เพลงยามเย็นของชาวประมง,BalıKçıNıN AkşAm ŞArkıSı,BàI HáT BuổI TốI CủA Ngư DâN,
,Etude Op.100 No.2,Etude Op.100 No.2,القطعة الموسيقية No.2 Op.100,阿拉伯风格曲,阿拉伯風格曲,Etude Op.100 No.2,Etude Op.100 No.2,Etude Op.100 No.2,Etude Op.100 N ° 2,Etude Op.100 Nr.2,Etude op.100 No.2,Etude Op.100 No.2,Etude Op.100 N. 2,에튀드 Op.100 No.2,練習曲 Op.100-2,Etude Op.100 No.2,Etude Op.100 No.2,Etude Op.100 Nr 2,Etude Op.100 No.2,Etude Op.100 No.2,Этюд Op.100 №2,Etude Op.100 No.2,Etude Op.100 No.2,Etude op.100 No.2,Erude Op.100 No.2,Etude Op.100 No.2,
,Passacaglia,Passacaglia,بسكاجليى,帕萨卡利亚,帕薩卡利亞,Passacaglia,Passacaglia,Passacaglia,Passacaglia,Passacaglia,पारिश्रमिक,Passacaglia,Passacaglia,Passacaglia,パッサカリア,Passacaglia,Passacaglia,Passacaglia,Passacaglia,Passacaglia,Пассакалья,Pasacalle,Passacaglia,Passacaglia,Pasajlia,Passacaglia,
,Song of selling newspapers,Song of Selling Newspapers,أغنية بيع الصحف,卖报歌,賣報歌,Lied Van Het Verkopen Van Kranten,Song Of Selling Newspapers,Laulu Myydä Sanomalehtiä,Chanson de la Vente de Journaux,Song of Selling Newspapers,अखबार बेचने का गीत,Song Of Selling Koran,Canzone Della Vendita Di Giornali,신문 판매의 노래,売報歌,Lagu Menjual Surat Khabar,Song Of Selling Newspapers,Pieśń SprzedażY Gazet,CançãO De Vender Jornais,CançãO De Vender Jornais,Песня о продаже газет,Canción de Vender Periódicos,Song Of Selling Newspapers,เพลงขายหนังสือพิมพ์,Gazete Satış ŞArkıSı,BàI HáT BáN BáO,
,Russian Dance,Russian Dance,الرقصة الروسية,俄罗斯舞曲,俄羅斯舞曲,Russische Dans,Russian Dance,VenäLäInen Tanssi,Danse Russe,Russian Dance,रूसी नृत्य,Tarian Rusia,Danza Russa,러시아 춤,ロシア舞曲,載入中…,Russisk Dans,Rosyjski Taniec,DançA Russa,DançA Russa,Русский танец,Danza Rusa,Rysk Dans,การเต้นรำรัสเซีย,Rus Dansı,Vũ đIệU Nga,
,Lascia chio pianga,Lascia Chio Pianga,لسقيا شيو بينجا,让我痛哭吧,讓我痛哭吧,Lascia Chio Pianga,Lascia Chio Pianga,Lascia Chio Pianga,Lascia Chio Pianga,Lascia Chio Pianga,लासिया चियो पियाना,Lascia Chio Pianga,Lascia Chio Pianga,라시아 치오 피앙가,私を泣かせてください,Lascia Chio Pianga,Lascia Chio Pianga,Lascia Chio Pianga,Lascia Chio Pianga,Lascia Chio Pianga,Лассиа кио пянга,Piangádica Lascia Chio,Lascia Chio Pianga,Lascia Chio Pianga,Lascia Chio Pianga,Lascia Chio Pianga,
,Sonata in A Major Mvt.2,Sonata in a Major Mvt.2,سوناتا في سلم لا الكبير Mvt.2,A大调奏鸣曲 第二章,A個大調奏鳴曲 第二章,Sonate In Een Grote Mvt.2,Sonata In A Major Mvt.2,Sonaatti Suuressa Mvt.2: Ssa,Sonate dans Un Major Mvt.2,Sonata in a Dur 2. Satz,एक प्रमुख MVT.2 में सोनाटा,Sonata Di Mvt Mayor.2,Sonata in Un Grande Mvt.2,소나타 A장조 2악장,ソナタ イ長調 第2楽章,Sonata Dalam Mvt Utama.2,Sonata I En Stor Mvt.2,Sonata W GłóWnym Mvt.2,Sonata Em Um Grande Mvt.2,Sonata Em Um Grande Mvt.2,Соната в ля мажор,Sonata en un Importante Mvt.2,Sonata I En Stor Mvt.2,Sonata ใน MVT.2 ที่สำคัญ,BüYüK Bir Mvt.2'De Sonata,Sonata Trong MộT Mvt ChíNh.2,
,Sakura Sakura,Sakura Sakura,ساكورا ساكورا,樱花,櫻花,Sakura Sakura,Sakura Sakura,Sakura Sakura,Sakura Sakura,Sakura Sakura,सकुरा सकुरा,Sakura Sakura,Sakura Sakura,사쿠라 사쿠라,さくらさくら,Sakura Sakura,Sakura Sakura,Sakura Sakura,Sakura Sakura,Sakura Sakura,Сакура сакура,Sakura Sakura,Sakura Sakura,ซากุระซากุระ,Sakura Sakura,Sakura Sakura,
,Silent Night,Silent Night,ليلة صامتة,平安夜,平安夜,Stille Nacht,Silent Night,Hiljainen Yö,Nuit Silencieuse,Silent Night,खामोश रात,Malam Yang Sunyi,Notte Silenziosa,Silent Night,きよしこの夜,Malam Yang Sunyi,Stille Natt,Cicha Noc,Noite Silenciosa,Noite Silenciosa,Тихая ночь,Noche Silenciosa,Stilla Natt,คืนเงียบ,Sessiz Gece,ĐêM YêN TĩNh,
,We Wish You a Merry Christmas,We Wish You a Merry Christmas,نتمنى لك عيد ميلاد سعيدا,我们祝你圣诞快乐,我們祝你聖誕快樂,We Wensen Je Een Vrolijk Kerstfeest,We Wish You A Merry Christmas,Toivotamme Sinulle Hyvää Joulua,Nous Vous Souhaitons Un Joyeux Noël,We Wish You a Merry Christmas,आपको क्रिसमस की हमारी ओर से शुभकामनाएं,Kami Mengucapkan Selamat Hari Natal,VI Auguriamo Un Buon Natale,메리 크리스마스,おめでとうクリスマス,Kami Mengucapkan Selamat Hari Krismas,Vi øNsker Deg En Riktig God Jul,ŻYczymy Ci WesołYch śWiąT,Desejamos-Lhe Um Feliz Natal,Desejamos-Lhe Um Feliz Natal,Желаем вам счастливого Рождества,Le Deseamos una Feliz Navidad,Vi öNskar Dig En God Jul,เราขอให้คุณสุขสันต์วันคริสต์มาส,Size Mutlu Noeller Dileriz,ChúNg TôI ChúC BạN MộT GiáNg Sinh Vui Vẻ,
,Jingle Bells Christmas Edition,Jingle Bells Christmas Edition,طبعة عيد ميلاد لأجراس الميلاد,铃儿响叮当圣诞版,鈴兒響叮噹聖誕版,Jingle Bells Christmas Edition,Jingle Bells Christmas Edition,Jingle Bells Christmas Edition,Édition de Noël Jingle Bells,Jingle Bells Christmas Edition,जिंगल बेल्स क्रिसमस संस्करण,Edisi Natal Jingle Bells,Jingle Bells Christmas Edition,징글벨 크리스마스 에디션,ジングルベル クリスマスエディション,Edisi Krismas Jingle Bells,Jingle Bells Christmas Edition,Jingle Bells Christmas Edition,EdiçãO De Natal De Jingle Bells,EdiçãO De Natal De Jingle Bells,"Джингл Белз, рождественская версия",Edición Navideña de Jingle Bells,Jingle Bells Christmas Edition,Jingle Bells Edition,Jingle Bells Christmas Edition,Jingle Bells PhiêN BảN GiáNg Sinh,
,The Faithful Shepherd,The Faithful Shepherd,الراعي الملخص,忠实的牧羊人,忠實的牧羊人,De Trouwe Herder,The Faithful Shepherd,Uskollinen Paimen,Le Fidèle Berger,The Faithful Shepherd,वफादार शेफर्ड,Gembala Yang Setia,Il Fedele Pastore,충실한 목자,忠実な羊飼い,Gembala Yang Setia,Den Trofaste Hyrden,Wierny Pasterz,O Pastor Fiel,O Pastor Fiel,Верный пастух,El Pastor Fiel,Den Trogna Herden,คนเลี้ยงแกะที่ซื่อสัตย์,SadıK ÇOban,NgườI ChăN CừU Trung ThàNh,
,Joy to the World,Joy to the World,السعادة إلى العالم,普世欢腾,普世歡騰,Vreugde Voor De Wereld,Joy To The World,Iloa Maailmaan,Joie au Monde,Joy to the World,दुनिया के लिए खुशी,Sukacita Bagi Dunia,Gioia Al Mondo,세상에 기쁨을,ジョイ・トゥ・ザ・ワールド,Kegembiraan Ke Dunia,Glede Til Verden,Radość Dla śWiata,Alegria Ao Mundo,Alegria Ao Mundo,"Радуйся, мир!",Alegría Para el Mundo,GläDje Till VäRlden,มีความสุขกับโลก,DüNyaya NeşE,NiềM Vui Cho Cả Thế GiớI,
,Symphony No.8 in G Major Mvt.3,Symphony No.8 in G Major Mvt.3,السيمفونية Mvt.3 No.8,第八交响曲第三乐章,第八交響曲第三樂章,Symphony No.8 In G Major Mvt.3,Symphony No.8 In G Major Mvt.3,Sinfonia Nro 8 G Major Mvt.3: Ssa,Symphonie N ° 8 en G Major Mvt.3,Symphony Nr.8 in G Dur 3. Satz,सिम्फनी नंबर 8 जी मेजर MVT.3 में,Symphony No.8 Di G Mayor Mvt.3,Sinfonia N. 8 in G Major Mvt.3,교향곡 제8번 G장조 3악장,交響曲 第8番 ト長調 第3楽章,Symphony No.8 Di G Major Mvt.3,Symphony No.8 I G Major Mvt.3,Symfonia Nr 8 W G -Dur Mvt.3,Symphony No.8 Em G Major Mvt.3,Symphony No.8 Em G Major Mvt.3,Симфония № 8 соль 3 часть,Symphony No.8 en G Major Mvt.3,Symphony No.8 I G Major Mvt.3,Symphony No.8 ใน G Major MVT.3,G MajöR Mvt.3'Te Senfoni No.8,BảN Giao HưởNg Số 8 Trong G Major Mvt.3,
,Dolly's Dreaming and Awakening,Dolly'S Dreaming and Awakening,حلم ويقظة دوللي,洋娃娃的梦,洋娃娃的夢,Dolly'S Dromen En Ontwaken,Dolly'S Dreaming And Awakening,Dollyn Unelma Ja HerääMinen,Dolly Est le Rêve et le Réveil,Dolly'S Dreaming and Awakening,डॉली का सपना और जागृति,Mimpi Dan Kebangkitan Dolly,Dolly's Dreaming and Awakening,돌리의 꿈과 각성,人形の夢と目覚め,Dolly Bermimpi Dan Kebangkitan,Dollys DrøMmer Og OppvåKning,Marzenie I Przebudzenie Dolly'Ego,Dolly Sonhando E Despertando,Dolly Sonhando E Despertando,Мечты и пробуждение Долли,Dreaming and Awakening de Dolly,Dollys DröMmer Och Uppvaknande,ความฝันและการตื่นขึ้นของ Dolly,Dolly'Nin RüYası Ve Uyanış,Dolly'S Dreaming And Awakening,
,Amazing Grace,Amazing Grace,أمازينغ غريس,奇异恩典,奇異恩典,Verbazingwekkende Gratie,Amazing Grace,HäMmäStyttäVä Armo,Amazing Grace,Amazing Grace,अविश्वसनीय मनोहरता,Berkat Yang Mengagumkan,Grazia Straordinaria,Amazing Grace,アメージンググレース,Rahmat Yang Luar Biasa,Fantastisk NåDe,Niesamowita łAska,GraçA Maravilhosa,GraçA Maravilhosa,"О, благодать",Gracia Asombrosa,Fantastisk NåD,พระคุณที่น่าทึ่ง,Amazing Grace,ÂN SủNg TuyệT VờI,
